index,ds,227645,230054,247467,265812,269255,283639
0,2010-01-01 00:00:00,0,0,256,0,0,0
1,2010-01-02 00:00:00,1264,0,768,604,0,0
2,2010-01-03 00:00:00,0,0,0,0,0,0
3,2010-01-04 00:00:00,480,0,3072,1024,736,0
4,2010-01-05 00:00:00,512,0,2688,936,896,0
5,2010-01-06 00:00:00,384,0,2464,384,1344,0
6,2010-01-07 00:00:00,872,0,2432,1216,1216,0
7,2010-01-08 00:00:00,768,0,2208,576,1152,0
8,2010-01-09 00:00:00,896,0,256,1728,1120,0
9,2010-01-10 00:00:00,0,0,0,0,0,0
10,2010-01-11 00:00:00,1500,0,2512,1212,704,0
11,2010-01-12 00:00:00,716,0,2858,1088,960,0
12,2010-01-13 00:00:00,512,0,3072,928,1088,0
13,2010-01-14 00:00:00,1488,0,2390,928,960,0
14,2010-01-15 00:00:00,608,0,2624,1792,1152,0
15,2010-01-16 00:00:00,512,0,512,992,1056,0
16,2010-01-17 00:00:00,0,0,0,0,0,0
17,2010-01-18 00:00:00,768,0,2560,1728,872,0
18,2010-01-19 00:00:00,1280,0,2720,960,832,0
19,2010-01-20 00:00:00,1024,0,2720,1152,1223,0
20,2010-01-21 00:00:00,1088,0,2560,1152,1024,0
21,2010-01-22 00:00:00,768,0,2656,1278,896,0
22,2010-01-23 00:00:00,256,0,512,1088,448,0
23,2010-01-24 00:00:00,0,0,0,0,0,0
24,2010-01-25 00:00:00,1488,0,3072,1440,928,0
25,2010-01-26 00:00:00,1024,0,2800,1472,896,0
26,2010-01-27 00:00:00,941,0,2304,1728,1024,0
27,2010-01-28 00:00:00,704,0,2752,1632,832,0
28,2010-01-29 00:00:00,704,0,3072,884,960,0
29,2010-01-30 00:00:00,0,0,200,1280,704,580
30,2010-01-31 00:00:00,0,0,0,0,0,0
31,2010-02-01 00:00:00,1024,0,2465,1088,960,0
32,2010-02-02 00:00:00,1248,0,2496,1824,864,0
33,2010-02-03 00:00:00,768,0,2560,1184,1024,0
34,2010-02-04 00:00:00,512,0,2928,768,746,0
35,2010-02-05 00:00:00,1264,0,3056,1216,716,0
36,2010-02-06 00:00:00,936,0,768,1128,634,0
37,2010-02-07 00:00:00,0,0,0,0,0,0
38,2010-02-08 00:00:00,1280,0,3072,1664,826,290
39,2010-02-09 00:00:00,992,0,2304,416,1152,290
40,2010-02-10 00:00:00,1216,0,3008,768,1216,352
41,2010-02-11 00:00:00,1024,0,2048,896,808,352
42,2010-02-12 00:00:00,512,0,2816,0,800,229
43,2010-02-13 00:00:00,0,0,0,0,0,0
44,2010-02-15 00:00:00,0,0,0,0,0,0
45,2010-02-16 00:00:00,768,0,1280,1312,0,500
46,2010-02-17 00:00:00,256,0,2560,416,832,0
47,2010-02-18 00:00:00,768,0,1280,756,1088,0
48,2010-02-19 00:00:00,1180,0,2048,1120,960,0
49,2010-02-20 00:00:00,768,0,256,608,0,0
50,2010-02-21 00:00:00,0,0,0,0,0,0
51,2010-02-22 00:00:00,768,0,2752,768,640,352
52,2010-02-23 00:00:00,512,0,2048,736,640,164
53,2010-02-24 00:00:00,768,0,1280,0,1152,0
54,2010-02-25 00:00:00,768,0,2304,1412,960,0
55,2010-02-26 00:00:00,1280,0,2752,1120,1536,1200
56,2010-02-27 00:00:00,0,0,768,1722,832,0
57,2010-02-28 00:00:00,0,0,0,0,0,0
58,2010-03-01 00:00:00,0,0,0,0,0,0
59,2010-03-02 00:00:00,768,0,2752,1472,896,450
60,2010-03-03 00:00:00,768,0,2560,768,960,540
61,2010-03-04 00:00:00,1024,0,2816,384,1120,425
62,2010-03-05 00:00:00,1024,0,2560,1280,1056,450
63,2010-03-06 00:00:00,512,0,768,1104,512,540
64,2010-03-07 00:00:00,0,0,0,0,0,0
