index,ds,1041,1692,1815,1853,1878
0,2010-01-01 00:00:00,0,10,2652,0,0
1,2010-01-02 00:00:00,6260,3422,26443,459,626
2,2010-01-03 00:00:00,0,0,404,0,0
3,2010-01-04 00:00:00,5141,3641,22924,3445,3305
4,2010-01-05 00:00:00,5494,6552,39081,3861,4362
5,2010-01-06 00:00:00,10300,6924,41411,3353,6643
6,2010-01-07 00:00:00,11193,9513,42029,4317,3718
7,2010-01-08 00:00:00,12480,8382,45205,5338,6258
8,2010-01-09 00:00:00,4117,5148,31304,3463,3219
9,2010-01-10 00:00:00,0,0,336,0,0
10,2010-01-11 00:00:00,6268,7379,42702,4805,4328
11,2010-01-12 00:00:00,4820,8164,46035,4994,5702
12,2010-01-13 00:00:00,6615,7426,40989,3642,4186
13,2010-01-14 00:00:00,6677,9790,40006,4333,4463
14,2010-01-15 00:00:00,7215,8389,44257,4338,5505
15,2010-01-16 00:00:00,4514,4925,29985,5260,1770
16,2010-01-17 00:00:00,0,0,568,0,0
17,2010-01-18 00:00:00,3975,6576,44099,4825,4119
18,2010-01-19 00:00:00,6918,7862,42713,4698,5569
19,2010-01-20 00:00:00,3567,8085,40365,5217,3824
20,2010-01-21 00:00:00,4758,8872,34943,4728,5163
21,2010-01-22 00:00:00,3970,6810,37524,4636,6225
22,2010-01-23 00:00:00,4852,3094,29112,3410,1806
23,2010-01-24 00:00:00,100,0,1500,400,192
24,2010-01-25 00:00:00,6644,6875,38761,4404,3256
25,2010-01-26 00:00:00,6499,6625,47845,5532,5042
26,2010-01-27 00:00:00,3928,7475,37623,5300,5597
27,2010-01-28 00:00:00,5275,8611,33242,5536,3647
28,2010-01-29 00:00:00,6010,6050,34553,5734,3721
29,2010-01-30 00:00:00,5134,2509,32310,4144,3632
30,2010-01-31 00:00:00,97,0,1035,424,0
31,2010-02-01 00:00:00,5359,5989,44515,5087,4522
32,2010-02-02 00:00:00,6616,10379,46149,4093,6386
33,2010-02-03 00:00:00,5138,7188,41351,5024,3742
34,2010-02-04 00:00:00,6042,8205,37579,4645,5782
35,2010-02-05 00:00:00,4903,7151,36644,3653,5030
36,2010-02-06 00:00:00,3558,4770,27514,4239,2182
37,2010-02-07 00:00:00,1152,0,278,289,0
38,2010-02-08 00:00:00,3858,7424,39388,4276,2588
39,2010-02-09 00:00:00,4494,6945,54674,4320,7153
40,2010-02-10 00:00:00,5925,7529,44881,4840,4001
41,2010-02-11 00:00:00,4915,5087,43332,4863,4502
42,2010-02-12 00:00:00,5944,3076,35457,4851,4164
43,2010-02-13 00:00:00,90,0,237,0,0
44,2010-02-15 00:00:00,0,0,688,0,0
45,2010-02-16 00:00:00,3651,5119,32633,1422,2896
46,2010-02-17 00:00:00,4577,6733,38341,4013,3524
47,2010-02-18 00:00:00,3856,6068,41582,3779,3014
48,2010-02-19 00:00:00,4387,5922,40987,4244,3677
49,2010-02-20 00:00:00,4036,3232,24511,4056,2272
50,2010-02-21 00:00:00,0,0,973,746,0
51,2010-02-22 00:00:00,4874,5374,33667,4837,3362
52,2010-02-23 00:00:00,5232,8308,39820,4868,4394
53,2010-02-24 00:00:00,5482,6306,42884,4325,4754
54,2010-02-25 00:00:00,5356,7512,41116,5276,4700
55,2010-02-26 00:00:00,5566,4734,40312,4733,3454
56,2010-02-27 00:00:00,6200,5834,29181,4488,3902
57,2010-02-28 00:00:00,0,0,436,0,0
58,2010-03-01 00:00:00,204,0,1135,2585,374
59,2010-03-02 00:00:00,5448,7739,35558,4448,3665
60,2010-03-03 00:00:00,5564,7277,48066,4504,4967
61,2010-03-04 00:00:00,4824,7803,38802,4542,5790
62,2010-03-05 00:00:00,5297,7695,47131,4531,4686
63,2010-03-06 00:00:00,3874,3091,22971,4689,2794
64,2010-03-07 00:00:00,0,0,346,0,0
65,2010-03-08 00:00:00,4564,6392,33235,4967,4560
66,2010-03-09 00:00:00,5083,7862,45419,4359,4044
67,2010-03-10 00:00:00,6692,6596,41421,4576,3792
68,2010-03-11 00:00:00,4542,8072,37121,5603,4423
69,2010-03-12 00:00:00,7490,7625,40713,4479,4152
70,2010-03-13 00:00:00,2371,3076,22910,4938,3124
71,2010-03-14 00:00:00,0,0,366,1171,0
72,2010-03-15 00:00:00,4244,5052,30028,3318,3081
73,2010-03-16 00:00:00,6839,7256,41401,5784,5135
74,2010-03-17 00:00:00,6826,7857,47433,4099,4828
75,2010-03-18 00:00:00,7192,6702,42180,4347,3800
76,2010-03-19 00:00:00,8940,8729,37381,5006,4582
77,2010-03-20 00:00:00,6290,3660,21639,3648,3241
78,2010-03-21 00:00:00,0,0,353,973,0
79,2010-03-22 00:00:00,6365,7680,34866,4169,2954
80,2010-03-23 00:00:00,5056,8893,45294,4598,4991
81,2010-03-24 00:00:00,5759,7557,41735,4618,4062
82,2010-03-25 00:00:00,8297,7560,37330,4787,3576
83,2010-03-26 00:00:00,7684,7835,40834,4271,3146
84,2010-03-27 00:00:00,4824,3263,20548,3838,1850
85,2010-03-28 00:00:00,0,0,434,0,0
86,2010-03-29 00:00:00,4446,6865,33381,4706,2447
87,2010-03-30 00:00:00,7050,7078,37983,3974,3110
88,2010-03-31 00:00:00,6410,5491,35603,4702,3352
89,2010-04-01 00:00:00,3031,8056,47879,5020,5238
